Method,Execution Time (s),CPU Usage (%),Memory Used (MB),Alignment Length,Gap Percentage (%),Conservation Score
Pair,0.0030024051666259766,0.0,0.00390625,3,0.0,0.0
ClustalW,0.005000591278076172,0.0,0.0,7,21.052631578947366,0.5
Genetic Algorithm,0.09302043914794922,83.1,0.17578125,6,16.666666666666664,1.0
Pair,0.0009980201721191406,0.0,0.0,3,0.0,0.0
ClustalW,0.007002115249633789,0.0,0.0,8,25.0,0.8333333333333334
Genetic Algorithm,0.18604803085327148,50.1,0.04296875,6,0.0,1.0
Pair,0.0009925365447998047,0.0,0.0,3,0.0,0.3333333333333333
ClustalW,0.004999399185180664,0.0,0.0,6,6.25,0.6
Genetic Algorithm,0.037009239196777344,99.7,0.0,5,0.0,1.0
Pair,0.0010001659393310547,0.0,0.0,3,0.0,0.0
ClustalW,0.006000518798828125,0.0,0.00390625,5,0.0,0.2
Genetic Algorithm,0.046012163162231445,99.7,0.0078125,5,0.0,1.0
