Method,Execution Time (s),CPU Usage (%),Memory Used (MB),Alignment Length,Gap Percentage (%),Conservation Score
Pair,0.0062792301177978516,0.0,0.06640625,3,0.0,0.0
ClustalW,0.028650999069213867,100.8,0.13671875,15,23.076923076923077,0.5
Genetic Algorithm,1.115154504776001,98.6,0.70703125,12,8.333333333333332,1.0
Pair,0.003936052322387695,0.0,0.0,3,0.0,0.0
ClustalW,0.020427227020263672,97.7,0.0,17,36.17021276595745,0.6666666666666666
Genetic Algorithm,0.9774441719055176,98.4,0.00390625,13,15.384615384615385,1.0
Pair,0.00399017333984375,0.0,0.0,3,0.0,0.0
ClustalW,0.01970815658569336,0.0,0.0,14,21.052631578947366,0.4166666666666667
Genetic Algorithm,2.3914356231689453,97.4,0.0234375,16,12.5,1.0
Pair,0.003950595855712891,0.0,0.0,3,0.0,0.0
ClustalW,0.02253556251525879,0.0,0.0,15,14.285714285714285,0.4
Genetic Algorithm,0.21492886543273926,85.6,0.00390625,10,0.0,1.0
